"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00351862","1893-11","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","","","","","","","","","0",",6","0",",6","17",",6","0",",6","0",",6","0",",6","","","","","-5.6",",6,19,","","","0",",,6,30,+","","","15.6",",6,04,","","","891.4","6","","","","","","","","","356.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,6","6.46",",6","11.44",",,,6","1.47",",,,6","",""
"USC00351862","1893-12","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0","2,6","","","","","","","","","","","0","1,6","7","1,6","0","1,6","0","1,6","0","1,6","","","","","-4.4","1,6,11,","","","","","","","13.9","1,6,08,","","","1261.0","6","","","","","","","","","369.6","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.50","2,6","8.91","1,,,6","2.08","1,,,6","",""
"USC00351862","1894-01","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","13",",6","0",",6","0",",6","0",",6","","","","","-6.7",",6,05,","","","89",",,6,06,","","","12.8",",6,12,","","","1684.2","6","","","","","","","","","423.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165",",,,6","4.68",",6","7.95",",,,6","1.41",",,,6","",""
"USC00351862","1894-02","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","","","","","","","","","3",",6","0",",6","18",",6","0",",6","0",",6","0",",6","","","","","-6.1",",6,21,","","","64",",,6,09,","","","13.9",",6,24,","","","2106.0","6","","","","","","","","","421.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127",",,,6","3.27",",6","7.16",",,,6","-0.62",",,,6","",""
"USC00351862","1894-03","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","9",",6","0",",6","0",",6","0",",6","","","","","-1.7",",6,22,+","","","64",",,6,18,","","","19.4",",6,27,+","","","2473.4","6","","","","","","","","","367.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115",",,,6","6.48",",6","11.12",",,,6","1.84",",,,6","",""
"USC00351862","1894-04","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","11",",6","11",",6","0",",6","","","","","0",",6","3",",6","0",",6","3",",6","0",",6","","","","","0.0",",6,07,+","","","","","11.4",",,6,01,","22.2",",6,19,","","","2742.4","6","","","","","","","","","269.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5",",,,6","","","9.37",",6","14.81",",,,6","3.92",",,,6","",""
"USC00351862","1894-05","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.9","6","0.9","2,6","7",",6","7",",6","0",",6","","","","","0","1,6","2","1,6","0","1,6","10","1,6","0","1,6","","","","","-1.1","1,6,09,+","","","","","15.2",",,6,26,","27.8","1,6,23,","","","2915.6","6","","","","","","","","","173.2","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2",",,,6","","","12.40","2,6","19.15","1,,,6","5.64","1,,,6","",""
"USC00351862","1894-06","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","2.6","6","1.7",",6","9",",6","9",",6","0",",6","","","","","0",",6","0",",6","0",",6","10",",6","0",",6","","","","","4.4",",6,10,","","","","","22.9",",,6,16,","30.6",",6,01,","","","3039.2","6","","","","","","","","","123.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7",",,,6","","","14.27",",6","19.72",",,,6","8.82",",,,6","",""
"USC00351862","1894-07","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","24.9","6","22.3",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","1",",6","","","","","5.6",",6,09,","","","","","2.5",",,6,24,","33.9",",6,18,","","","25.8","6","","","","","","","","","25.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5",",,,6","","","18.22",",6","27.26",",,,6","9.18",",,,6","",""
"USC00351862","1894-08","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","83.0","6","58.1",",6","1",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","7",",6","","","","","5.6",",6,07,","","","","","1.3",",,6,31,","35.6",",6,26,","","","44.6","6","","","","","","","","","18.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3",",,,6","","","19.60",",6","28.94",",,,6","10.25",",,,6","",""
"USC00351862","1894-09","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","90.8","6","7.8",",6","5",",6","5",",6","0",",6","","","","","0",",6","0",",6","0",",6","16",",6","1",",6","","","","","3.9",",6,19,","","","","","7.6",",,6,26,+","32.2",",6,10,","","","152.7","6","","","","","","","","","108.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.4",",,,6","","","14.99",",6","21.48",",,,6","8.49",",,,6","",""
"USC00351862","1894-10","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","90.8","6","0.0",",6","13",",6","13",",6","0",",6","","","","","0",",6","3",",6","0",",6","6",",6","0",",6","","","","","-0.6",",6,19,+","","","","","19.1",",,6,22,","23.9",",6,14,+","","","396.1","6","","","","","","","","","243.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.0",",,,6","","","10.48",",6","16.36",",,,6","4.60",",,,6","",""
"USC00351862","1894-11","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","90.8","6","0.0",",6","6",",6","6",",6","0",",6","","","","","0",",6","8",",6","0",",6","0",",6","0",",6","","","","","-4.4",",6,16,","","","","","19.1",",,6,23,","20.0",",6,06,","","","714.9","6","","","","","","","","","318.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3",",,,6","","","7.71",",6","12.32",",,,6","3.10",",,,6","",""
"USC00351862","1894-12","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","90.8","6","0.0",",6","14",",6","12",",6","0",",6","","","","","0",",6","18",",6","0",",6","0",",6","0",",6","","","","","-2.8",",6,25,+","","","","","21.6",",,6,08,","12.8",",6,06,+","","","1166.6","6","","","","","","","","","451.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.8",",,,6","","","3.76",",6","7.49",",,,6","0.04",",,,6","",""
"USC00351862","1895-01","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0","3,6","15",",6","15",",6","3",",6","","","1",",6","0","2,6","23","2,6","0","2,6","0","2,6","0","2,6","","","","","-5.0","2,6,29,+","","","25",",,6,01,","76.2",",,6,02,","16.1","2,6,10,","","","1589.4","6","","","","","","","","","422.8","2,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295.7",",,,6","25",",,,6","3.32","3,6","7.09","2,,,6","-0.44","2,,,6","",""
"USC00351862","1895-02","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0","1,6","7",",6","5",",6","0",",6","","","0",",6","0",",6","14",",6","0","1,6","0","1,6","0","1,6","","","","","-2.8",",6,09,+","","","0",",,6,28,+","12.7",",,6,11,","15.6","1,6,28,+","","","1942.2","6","","","","","","","","","352.8","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5",",,,6","0",",,,6","5.20","1,6","9.35","1,,,6","1.06",",,,6","",""
"USC00351862","1895-03","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","11",",6","10",",6","1",",6","","","","","0",",6","15",",6","0",",6","0",",6","0",",6","","","","","-3.9",",6,05,","","","","","26.7",",,6,20,","18.9",",6,27,","","","2305.4","6","","","","","","","","","363.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113.2",",,,6","","","6.62",",6","12.71",",,,6","0.52",",,,6","",""
"USC00351862","1895-04","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","13",",6","10",",6","1",",6","","","","","0",",6","5",",6","0",",6","5",",6","0",",6","","","","","-1.7",",6,05,","","","","","25.4",",,6,15,","29.4",",6,22,","","","2553.9","6","","","","","","","","","248.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.9",",,,6","","","10.05",",6","16.79",",,,6","3.31",",,,6","",""
"USC00351862","1895-05","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","1.7","6","1.7",",6","14",",6","11",",6","0",",6","","","","","0",",6","1",",6","0",",6","8",",6","0",",6","","","","","-0.6",",6,09,","","","","","23.9",",,6,25,","31.7",",6,15,","","","2747.0","6","","","","","","","","","193.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.8",",,,6","","","12.16",",6","18.12",",,,6","6.20",",,,6","",""
"USC00351862","1895-06","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","15.6","6","13.9",",6","2",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","22",",6","2",",6","","","","","2.8",",6,01,","","","","","4.3",",,6,14,","33.9",",6,26,","","","2839.3","6","","","","","","","","","92.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1",",,,6","","","15.72",",6","23.54",",,,6","7.90",",,,6","",""
"USC00351862","1895-08","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","24.1",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","2",",6","1","","","","4.4",",6,25,+","","","","","0.0",",T,6,20,","35.6",",6,05,","","","","","","","","","","","","","31.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","18.10",",6","27.79",",,,6","8.41",",,,6","",""
"USC00351862","1895-09","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.3",",6","","","","","","","","","","","0",",6","1",",6","0",",6","11",",6","0",",6","","","","","-1.1",",6,21,","","","","","","","28.9",",6,28,","","","","","","","","","","","","","160.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.01",",6","20.23",",,,6","5.79",",,,6","",""
"USC00351862","1895-10","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","0",",6","0",",6","0",",6","","","","","0",",6","6",",6","0",",6","14",",6","0",",6","","","","","-2.8",",6,30,","","","","","0.0",",T,6,08,","28.9",",6,15,","","","","","","","","","","","","","214.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","11.40",",6","19.22",",,,6","3.59",",,,6","",""
"USC00351862","1895-11","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","12",",6","12",",6","0",",6","","","","","0",",6","11",",6","0",",6","0",",6","0",",6","","","","","-6.1",",6,25,","","","","","20.8",",,6,26,","16.7",",6,14,","","","","","","","","","","","","","384.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117.7",",,,6","","","5.53",",6","10.62",",,,6","0.44",",,,6","",""
"USC00351862","1895-12","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","","","0.0",",6","23",",6","23",",6","3",",6","","","1",",6","0",",6","16",",6","0",",6","0",",6","0",",6","","","","","-2.8",",6,29,+","","","64",",,6,15,","40.6",",,6,14,","16.7",",6,09,","","","","","","","","","","","","","430.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284.4",",,,6","64",",,,6","4.45",",6","8.02",",,,6","0.88",",,,6","",""
"USC00351862","1896-01","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","17",",6","16",",6","2",",6","","","1",",6","0",",6","16",",6","0",",6","0",",6","0",",6","","","","","-5.6",",6,17,","","","51",",,6,14,","48.3",",,6,16,","15.6",",6,26,","","","","","","","","","","","","","397.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212.2",",,,6","51",",,,6","5.51",",6","9.66",",,,6","1.36",",,,6","",""
"USC00351862","1896-02","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","","","","","","","","","2",",6","0",",6","9",",6","0",",6","0",",6","0",",6","","","","","-3.3",",6,11,","","","38",",,6,29,+","","","18.9",",6,15,","","","","","","","","","","","","","325.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76",",,,6","7.11",",6","11.63",",,,6","2.59",",,,6","",""
"USC00351862","1896-03","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","16",",6","16",",6","0",",6","","","1",",6","0",",6","12",",6","1",",6","1",",6","0",",6","","","","","-6.1",",6,03,+","","","51",",,6,02,","8.9",",,6,23,+","21.7",",6,17,","","","","","","","","","","","","","356.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4",",,,6","51",",,,6","6.83",",6","12.65",",,,6","1.00",",,,6","",""
"USC00351862","1896-04","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","21",",6","21",",6","1",",6","","","0",",6","0",",6","7",",6","0",",6","0",",6","0",",6","","","","","-1.7",",6,15,","","","0",",,6,30,+","27.9",",,6,24,","19.4",",6,21,","","","","","","","","","","","","","313.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177.1",",,,6","0",",,,6","7.90",",6","12.95",",,,6","2.85",",,,6","",""
"USC00351862","1896-05","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","0.0","6","0.0",",6","15",",6","15",",6","2",",6","","","","","0",",6","0",",6","0",",6","5",",6","0",",6","","","","","1.1",",6,10,","","","","","33.0",",,6,02,","26.7",",6,28,","","","","","","","","","","","","","239.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","144.9",",,,6","","","10.62",",6","16.12",",,,6","5.12",",,,6","",""
"USC00351862","1896-06","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","5.3","6","5.3",",6","4",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","19",",6","1",",6","","","","","2.8",",6,13,","","","","","8.4",",,6,06,","35.0",",6,25,","","","","","","","","","","","","","101.8",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.9",",,,6","","","15.12",",6","22.80",",,,6","7.43",",,,6","",""
"USC00351862","1896-07","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","68.0","6","62.7",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","","","5.0",",6,21,+","","","","","0.0",",,6,31,+","37.2",",6,15,","","","15.3","6","","","","","","","","","15.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",,,6","","","19.86",",6","29.81",",,,6","9.92",",,,6","",""
"USC00351862","1896-08","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","98.2","6","30.2",",6","8",",6","5",",6","0",",6","","","","","0",",6","0",",6","0",",6","27",",6","3",",6","","","","","8.3",",6,25,+","","","","","13.2",",,6,01,","35.6",",6,22,","","","36.2","6","","","","","","","","","20.9",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5",",,,6","","","18.63",",6","25.73",",,,6","11.54",",,,6","",""
"USC00351862","1896-09","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","108.5","6","10.3","2,6","3",",6","1",",6","0",",6","","","","","0","1,6","1","1,6","0","1,6","21","1,6","2","1,6","","","","","0.0","1,6,25,","","","","","9.7",",,6,14,","34.4","1,6,04,","","","138.0","6","","","","","","","","","101.8","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5",",,,6","","","14.96","2,6","24.04","1,,,6","5.88","1,,,6","",""
"USC00351862","1896-10","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","108.5","6","0.0",",6","9",",6","8",",6","1",",6","","","","","0",",6","1",",6","0",",6","12",",6","0",",6","","","","","0.0",",6,09,","","","","","26.7",",,6,30,","26.1",",6,01,","","","349.0","6","","","","","","","","","211.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.9",",,,6","","","11.53",",6","19.38",",,,6","3.67",",,,6","",""
"USC00351862","1896-11","44.6341","-123.19","68.6","CORVALLIS STATE UNIVERSITY, OR US","108.5","6","0.0","1,6","","","","","","","","","","","0","1,6","19","1,6","5",",6","0",",6","0",",6","","","","","-12.2","1,6,29,+","","","","","","","15.0",",6,15,+","","","782.5","6","","","","","","","","","433.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.47","1,6","7.66",",,,6","-0.71","1,,,6","",""
